name,rating,address,review,Log_and_Lat
Chulha Chauki Da Dhaba | Mahadevapura Restaurant,4.3,"Chinnappa Reddy Rd, Mahadevapura, Bengaluru, Karnataka 560048","(11,597)","@12.9819456,77.6747765,"
Tashann Multi Cuisine Restaurant,4.2,"No. 2/2 A, 1st Floor, Mahadevpura Flyover, near Mega More store, Laxmi Sagar Layout, Mahadevapura, Bengaluru, Karnataka 560048",(534),"@12.9819456,77.6747765,"
Gilly's Resto-Bar Marathalli East ORR,4.0,"Opposite EMC2 Corporation, From Marathalli to K R Puram, 62/02, Outer Ring Rd, Doddanekkundi, Mahadevapura, Bengaluru, Karnataka 560048","(4,021)","@12.9819456,77.6747765,"
Punjabi Food Point,3.4,"Venkateshwara Layout, Mahadevapura, Bengaluru, Karnataka 560048",(234),"@12.9819456,77.6747765,"
Jalsa,4.1,"25/7, Outer Ring Road, Doddannakundi, Marathahalli, Brindavan Extension, Mahadevapura, Bengaluru, Karnataka 560048","(5,656)","@12.9819456,77.6747765,"
Chungwok restaurant,4.7,"No 11/13 shivaganga complex. shivaganga layout, Outer Ring Rd, behind more megastore, Mahadevapura, Bengaluru, Karnataka 560048",(80),"@12.9819456,77.6747765,"
Infinity Family Restaurant,3.8,"Akamma Gowda Complex, 20/4, Outer Ring Rd, near Cake Palace bakery, Saraswathi Nagar, B Narayanapura, Mahadevapura, Bengaluru, Karnataka 560048",(512),"@12.9819456,77.6747765,"
Test Restaurant,NULL,"Outer Ring Rd, Laxmi Sagar Layout, Mahadevapura, Bengaluru, Karnataka 560048",NULL,"@12.9819456,77.6747765,"
Spicy Delight Restaurant,5.0,"XMJV+C9Q, Marha Halli, Outer Ring Rd, Doddanekundi, Bengaluru, Karnataka 560037",(5),"@12.9819456,77.6747765,"
New Delicacy,3.8,"8, & 9, Lakshmi Mansion, 328/E, 18 Cross Kaggadaspura, CV Raman Nagar, Kaggadasapura, Bengaluru, Karnataka 560093",(606),"@12.9840014,77.6606463,"
